American (New),American (Traditional),Asian Fusion,Bagels,Bakeries,Bars,Breakfast & Brunch,Burgers,Cafes,Caribbean,Chicken Wings,Chinese,Cocktail Bars,Coffee & Tea,Delis,Desserts,Diners,Dominican,Fast Food,Food Stands,Food Trucks,Greek,Grocery,Halal,Indian,Italian,Japanese,Juice Bars & Smoothies,Kosher,Latin American,Lounges,Mediterranean,Mexican,Pizza,Restaurants,Salad,Sandwiches,Seafood,Soul Food,Spanish,Sports Bars,Steakhouses,Sushi Bars,Thai,Wine Bars,number_of_cats,low,medium,expensive,very expensive
0.0,0.0,-0.0020066376,0.0,-0.037838437,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,0.006805489,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,-0.037838437,-0.0028978474,0.019724198,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,-0.38325953,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,0.09456571,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,0.019724198,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,0.07198648,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,-0.07372836,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,-0.034529854,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,-0.38325953,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,-0.050707698
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,-0.034529854,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,-0.38325953,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,-0.23176196,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,-0.07372836,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,-0.15660155,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,-0.23176196,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,-0.034529854,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,-0.07372836,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,0.09456571,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,0.019724198,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,0.08405355,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,-0.38325953,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,-0.024645858,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,0.24443978,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,0.09456571,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,0.006805489,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,0.09456571,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,-0.23176196,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,-0.38325953,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,0.04967167,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,0.006805489,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,-0.029817313,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,0.006805489,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,-0.38325953,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,-0.024645858,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,0.0012419961,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
0.0,0.0,-0.0020066376,0.0,0.0004037638,-0.0028978474,-0.0010611119,0.0,-0.0021008442,0.0,0.0017299079,0.0,0.0,0.0,-0.01826606,0.0,-0.001901059,0.002561166,0.04437436,0.0,0.004004156,-0.00016387878,-0.0027472428,-0.0035453553,0.0,0.0017278043,-0.0023512146,0.003688165,-0.00033067298,-0.0043351287,0.0,0.0,0.0,0.0,-0.024645858,0.00014530774,0.018251175,-0.00059949234,0.0,0.0007202046,0.0043528834,0.0,0.0,0.0,0.00082257675,-0.044694476,0.0,-0.0029380526,0.0,0.00015747732
